,restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
62,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
63,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
64,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
65,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
66,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
67,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
68,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
69,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
70,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
71,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
72,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
73,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
74,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
75,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
76,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
77,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
78,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
79,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
80,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
81,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
82,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
